Date,Hour,Type,Module,Message
30/Oct/2023,01:34:18,ERROR,organisation_event_processor,"Exception when calling ILS API: (500)Reason: Internal Server ErrorHTTP response headers: HTTPHeaderDict({'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Content-Type': 'application/json', 'Date': 'Mon, 30 Oct 2023 12:34:17 GMT', 'Expires': '0', 'Pragma': 'no-cache', 'Strict-Transport-Security': 'max-age=31536000 ; includeSubDomains', 'X-Content-Type-Options': 'nosniff', 'X-Frame-Options': 'DENY', 'X-Xss-Protection': '1; mode=block', 'Transfer-Encoding': 'chunked'})HTTP response body: b'{""timestamp"":""2023-10-30T12:34:17.930577403Z"",""status"":500,""message"":""Unknown error!""}'"
30/Oct/2023,01:34:18,ERROR,organisation_event_processor,"Exception when calling ILS API: (404)Reason: Not FoundHTTP response headers: HTTPHeaderDict({'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Content-Type': 'application/json', 'Date': 'Mon, 30 Oct 2023 12:34:17 GMT', 'Expires': '0', 'Pragma': 'no-cache', 'Strict-Transport-Security': 'max-age=31536000 ; includeSubDomains', 'Vary': 'Origin, Access-Control-Request-Method, Access-Control-Request-Headers', 'X-Content-Type-Options': 'nosniff', 'X-Frame-Options': 'DENY', 'X-Xss-Protection': '1; mode=block', 'Transfer-Encoding': 'chunked'})HTTP response body: b'{""timestamp"":""2023-10-30T12:34:18.041+00:00"",""status"":404,""error"":""Not Found"",""path"":""/v1beta1/kanban/control-cycles/41ffe350-3606-46e6-bc64-0655e6ae959a/cards:associate-carrier/""}'"
30/Oct/2023,01:34:57,DEBUG,ils_event_consumer,"KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={""header"":{""traceId"":""8d5eb84a-2b37-45b3-bb83-d7630143880a"",""id"":""76fc81b0-6eb7-410b-a064-593180feca8d"",""organisationId"":""b6c197fa-c1d2-43ec-930f-57daf8c7aa9b"",""timestamp"":""2023-10-30T12:34:57.907697099Z""},""body"":{""action"":{""carrier"":{""laneAddress"":""S001.M004.04.02"",""carrierActionType"":""CARRIER_ACTION_PICK"",""locationType"":""LOCATION_SECONDARY"",""carrierId"":""e1ab223c-b8fb-1cf2-3c4a-7073edfdd023"",""currentCount"":2}}}}]"
30/Oct/2023,01:34:58,DEBUG,organisation_event_processor,handling a action event...
30/Oct/2023,01:34:58,INFO,organisation_event_processor,signal linked lane S001.M004.04.02 -> 266b32ef-d2e6-4b6a-979d-ab161cd5b83a
30/Oct/2023,01:34:58,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:34:58,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:34:58,INFO,organisation_event_processor,"{'carrier_id': None, 'id': 'd00dda6f-b92e-4c8b-abd2-9bc963dc83df'}"
30/Oct/2023,01:34:58,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:34:58,DEBUG,organisation_event_processor,"Exception when calling ILS API: a bytes-like object is required, not 'str'"
30/Oct/2023,01:35:25,DEBUG,ils_event_consumer,"KAFKA | RECEIVED | [topic=organisation_events_1091c573-df2b-44e3-8755-64c8a09cebcc] | [content={""header"":{""traceId"":""63def4a4-2cdb-48b6-a3d4-e28935924455"",""id"":""fde264eb-7400-4d9e-b23d-8464048fc24a"",""organisationId"":""b6c197fa-c1d2-43ec-930f-57daf8c7aa9b"",""timestamp"":""2023-10-30T12:35:24.949651739Z""},""body"":{""action"":{""carrier"":{""laneAddress"":""S001.M006.02.02"",""carrierActionType"":""CARRIER_ACTION_PUT"",""locationType"":""LOCATION_PRIMARY"",""carrierId"":"""",""currentCount"":3}}}}]"
30/Oct/2023,01:35:25,DEBUG,organisation_event_processor,handling a action event...
